days,posts,total_eng,median_eng
-30.0,9,14867,1099.0
-29.0,6,8490,1474.0
-28.0,3,553,16.0
-27.0,6,8703,525.0
-26.0,4,1591,132.0
-25.0,1,883,883.0
-24.0,9,12886,710.0
-23.0,7,26036,561.0
-22.0,9,11452,556.0
-21.0,9,14871,1453.0
-20.0,1,39,39.0
-19.0,5,10158,1723.0
-18.0,6,6878,186.5
-17.0,5,11306,710.0
-16.0,4,7606,845.0
-15.0,6,12528,645.0
-14.0,6,8905,560.5
-13.0,6,8293,550.0
-12.0,2,10209,5104.5
-11.0,8,18166,884.0
-10.0,4,24644,2683.5
-9.0,5,2134,589.0
-8.0,14,17289,262.5
-7.0,6,21133,1094.5
-6.0,5,4134,733.0
-5.0,4,14323,2373.5
-4.0,4,1750,448.5
-3.0,7,5112,326.0
-2.0,10,5681,375.5
-1.0,4,11202,1148.0
0.0,17,31220,197.0
1.0,16,45178,691.0
2.0,16,39842,964.5
3.0,3,1032,403.0
4.0,12,17374,721.5
5.0,10,15586,417.5
6.0,8,29143,1568.0
7.0,9,38822,325.0
8.0,12,11231,369.0
9.0,11,17046,360.0
10.0,8,13951,862.5
11.0,12,29851,639.0
12.0,9,16292,616.0
13.0,4,1583,45.5
14.0,13,45129,2010.0
15.0,7,6513,615.0
16.0,13,38102,1732.0
17.0,2,191,95.5
18.0,8,20848,2402.0
19.0,16,48979,757.5
20.0,11,50801,1273.0
21.0,13,15327,359.0
22.0,13,33400,1592.0
23.0,18,57122,574.5
24.0,14,227995,1244.0
25.0,19,34373,399.0
26.0,21,56521,550.0
27.0,17,194286,809.0
28.0,19,55873,398.0
29.0,19,26206,186.0
30.0,13,14731,659.0
31.0,11,19377,1410.0
32.0,22,41289,782.0
33.0,20,44853,190.0
34.0,17,38125,1244.0
35.0,12,25966,429.5
36.0,14,12643,153.5
37.0,10,11163,761.0
38.0,16,17505,367.0
39.0,14,51685,970.0
40.0,12,25017,1084.0
41.0,8,6656,111.0
42.0,17,233400,1000.0
43.0,11,20734,1127.0
44.0,12,49498,1878.0
45.0,10,29234,2217.5
46.0,15,27017,1064.0
47.0,15,24118,650.0
48.0,10,23204,1314.0
49.0,16,68374,1544.0
50.0,10,15457,791.5
51.0,14,31838,1538.5
52.0,20,34359,1162.0
53.0,19,30866,415.0
54.0,26,34765,879.0
55.0,40,164369,793.0
56.0,32,48025,724.0
57.0,26,29553,334.5
58.0,21,4293,84.0
